,id,no_chars
137,0812.3823,329
138,0812.4438,248
139,0812.3468,536
140,0812.0329,219
141,0812.2417,545
142,0812.2259,649
143,0812.2943,944
144,0812.1974,176
145,0812.4080,278
146,0812.0917,606
147,0812.4235,505
148,0812.0249,252
149,0812.2308,203
150,0812.0075,146
151,0812.4020,5741
152,0812.2569,221
153,0812.1543,512
154,0812.3158,15992
155,0812.2411,364
156,0812.2163,73001
157,0812.1314,139
158,0812.3960,152
159,0812.0581,246
160,0812.4950,468
161,0812.1358,371
162,0812.3253,126
163,0812.1147,377
164,0812.3629,406
165,0812.4785,385
166,0812.0214,228
167,0812.2253,388
168,0812.1445,118
169,0812.0763,186
170,0812.3576,267
171,0812.4010,444
172,0812.3375,291
173,0812.2997,829
174,0812.0014,465
175,0812.1153,115
176,0812.1355,253
177,0812.4319,328
178,0812.0231,549
179,0812.0147,185
180,0812.1753,405
181,0812.1456,607
182,0812.2537,428
183,0812.1169,306
184,0812.2573,178
185,0812.2899,103
186,0812.2788,791
187,0812.0818,287
188,0812.2465,275
189,0812.3805,561
190,0812.2213,307
191,0812.0881,285
192,0812.0777,227
193,0812.0589,373
194,0812.1660,233
195,0812.4158,169
196,0812.2720,815
197,0812.2863,108
198,0812.1707,7438
199,0812.2848,367
200,0812.3970,237
201,0812.4888,924
202,0812.1000,809
203,0812.2318,442
204,0812.3051,151
205,0812.0442,177
206,0812.0612,221
207,0812.1014,289
208,0812.3852,369
209,0812.1569,282
210,0812.2864,143
211,0812.0936,431
212,0812.3762,2613
213,0812.4108,485
214,0812.3836,230
215,0812.2785,212
216,0812.4431,497
217,0812.1025,258
218,0812.1379,138
219,0812.3891,322
220,0812.2661,318
221,0812.4189,402
222,0812.0824,208
223,0812.3931,303
224,0812.1042,610
225,0812.2406,324
226,0812.4136,345
227,0812.2937,480
228,0812.0640,132
229,0812.4443,513
230,0812.2768,187
231,0812.1300,133
232,0812.3404,130
233,0812.0993,413
234,0812.1874,1878
235,0812.4611,501
236,0812.3373,264
237,0812.4899,338
238,0812.3489,1393
239,0812.4491,246
240,0812.2336,302
241,0812.2388,472
242,0812.1485,291
243,0812.2921,252
244,0812.2935,327
245,0812.2473,902
246,0812.3306,287
247,0812.1525,1067
248,0812.4537,225
249,0812.0284,297
250,0812.4990,208
251,0812.2904,459
252,0812.3674,140
253,0812.0243,244
254,0812.4317,134
255,0812.1031,250
256,0812.2838,405
257,0812.2460,122
258,0812.3662,1410
259,0812.4953,666
260,0812.2083,249
261,0812.1390,653
262,0812.2218,576
263,0812.3884,22
264,0812.4253,264
265,0812.2278,6088
266,0812.0836,195
267,0812.3361,179
268,0812.3585,399
269,0812.4547,336
270,0812.1422,358
271,0812.1743,602
272,0812.1949,211
273,0812.3401,216
274,0812.4663,177
275,0812.4228,2075
276,0812.0754,274
277,0812.2144,12903
278,0812.1906,282
279,0812.2254,503
280,0812.4961,91
281,0812.3410,284
282,0812.4329,180
283,0812.2021,413
284,0812.0591,548
285,0812.0189,174
286,0812.0161,325
287,0812.0514,176
288,0812.4210,184
289,0812.0576,340
290,0812.1200,142
291,0812.0590,155
292,0812.1618,378
293,0812.0021,302
294,0812.3453,346
295,0812.3463,156
296,0812.1682,109
297,0812.3802,173
298,0812.0635,385
299,0812.0779,207
300,0812.3397,340
301,0812.1970,225
302,0812.1986,102
303,0812.0580,313
304,0812.3668,20965
305,0812.2150,396
306,0812.0167,410
307,0812.3765,474
308,0812.3612,285
309,0812.0820,556
310,0812.2757,160
311,0812.4434,152
312,0812.3832,101208
313,0812.0038,233
314,0812.3313,227
315,0812.1091,345
316,0812.0007,280
317,0812.3988,858
318,0812.3893,250
319,0812.3535,314
320,0812.2450,1455
321,0812.0354,142
322,0812.0050,610
323,0812.4496,481
324,0812.2121,2329
325,0812.1667,916
326,0812.2860,129
327,0812.0683,162
328,0812.5070,560
329,0812.2370,217
330,0812.4280,301
331,0812.3408,140
332,0812.2962,439
333,0812.0511,378
334,0812.2044,241
335,0812.0822,149
336,0812.0013,215
337,0812.4834,140
338,0812.4983,277
339,0812.4120,135
340,0812.2520,189
341,0812.2410,117
342,0812.4839,354
343,0812.0295,193
344,0812.1591,448
345,0812.3153,349
346,0812.2835,263
347,0812.1890,128
348,0812.1634,72
349,0812.1185,188
350,0812.4867,754
351,0812.0840,124
352,0812.4745,125
353,0812.4250,273
354,0812.1817,238
355,0812.2967,172
356,0812.2225,128
357,0812.5091,880
358,0812.2290,301
359,0812.3918,370
360,0812.2861,198
361,0812.0931,422
362,0812.3031,373
363,0812.1958,370
364,0812.0792,565
365,0812.3821,567
366,0812.2911,584
367,0812.0981,535
368,0812.0436,451
369,0812.2978,172
370,0812.1308,1214
371,0812.0121,369
372,0812.1035,2877
373,0812.3385,205
374,0812.2302,549
375,0812.4946,279
376,0812.4852,407
377,0812.3315,82
378,0812.4788,159
379,0812.3444,879
380,0812.3341,315
381,0812.0895,452
382,0812.1648,403
383,0812.1884,568
384,0812.1350,164
385,0812.2698,13652
386,0812.1367,357
387,0812.1495,606
388,0812.1016,138
389,0812.2787,625
390,0812.4285,409
391,0812.4471,332
392,0812.2954,450
393,0812.3399,793
394,0812.1041,400
395,0812.3190,454
396,0812.0081,105
397,0812.0666,208
398,0812.2783,393
399,0812.3800,299
400,0812.2105,225
401,0812.3149,294
402,0812.1483,383
403,0812.3459,12536
404,0812.4292,290
405,0812.4437,392
406,0812.1650,811
407,0812.0293,432
408,0812.0313,111
409,0812.2309,530
410,0812.3561,228
411,0812.1996,327
412,0812.1560,285
413,0812.1544,435
414,0812.2288,373
415,0812.0854,435
416,0812.0060,87
417,0812.2523,239
418,0812.0221,165
419,0812.2024,373
420,0812.2815,330
421,0812.0263,104
422,0812.2338,40583
423,0812.3752,215
424,0812.3744,551
425,0812.1541,532
426,0812.1243,558
427,0812.1624,120
428,0812.2036,920
429,0812.0987,314
430,0812.0149,205
431,0812.0645,41
432,0812.3042,319
433,0812.2470,628
434,0812.2598,415
435,0812.3494,294
436,0812.2034,568
437,0812.3040,646
438,0812.4254,361
439,0812.3872,705
440,0812.0170,219
441,0812.1138,61
442,0812.1385,102
443,0812.4078,817
444,0812.2924,361
445,0812.1480,177
446,0812.4375,467
447,0812.4610,365
448,0812.0288,505
449,0812.3017,273
450,0812.1781,493
451,0812.4857,923
452,0812.2721,1339
453,0812.0707,127
454,0812.0541,326
455,0812.3135,381
456,0812.4975,424
457,0812.2775,228
458,0812.2424,224
459,0812.3026,231
460,0812.3641,270
461,0812.4696,101
462,0812.1723,556
463,0812.3059,670
464,0812.1398,107
465,0812.3603,7990
466,0812.4257,352
467,0812.2515,248
468,0812.2228,330
469,0812.2786,566
470,0812.0046,224
471,0812.1576,406
472,0812.4233,693
473,0812.1810,319
474,0812.2779,174
475,0812.4907,969
476,0812.3383,496
477,0812.2747,383
478,0812.4272,1449
479,0812.2407,343
480,0812.3976,873
481,0812.3796,260
482,0812.3658,356
483,0812.1844,260
484,0812.3540,139
485,0812.3164,296
486,0812.0817,301
487,0812.2856,271
488,0812.2656,135
489,0812.1653,223
490,0812.5030,148
491,0812.3733,1344
492,0812.2023,287
493,0812.4035,800
494,0812.0026,719
495,0812.3584,483
496,0812.0042,111
497,0812.4421,316
498,0812.3078,390
499,0812.2847,244
500,0812.0600,188
501,0812.2817,186
502,0812.2242,169
503,0812.2804,404
504,0812.1829,141
505,0812.3239,380
506,0812.2665,260
507,0812.1722,423
508,0812.3252,166
509,0812.4687,304
510,0812.4240,333
511,0812.3831,499
512,0812.4460,350
513,0812.0383,277
514,0812.0420,406
515,0812.4423,142
516,0812.4006,250
517,0812.2975,361
518,0812.1713,512
519,0812.1671,112
520,0812.4599,579
521,0812.3715,289
522,0812.3465,194
523,0812.4563,178
524,0812.0471,6862
525,0812.3730,153
526,0812.1274,683
527,0812.0841,371
528,0812.2518,635
529,0812.3048,228
530,0812.4256,140
531,0812.4737,196
532,0812.1901,988
533,0812.3491,700
534,0812.2601,195
535,0812.4340,178
536,0812.1189,628
537,0812.1815,220
538,0812.0682,627
539,0812.1085,15000
540,0812.3053,1462
541,0812.1232,607
542,0812.3513,348
543,0812.1668,1442
544,0812.3362,304
545,0812.2239,258
546,0812.2887,394
547,0812.1508,185
548,0812.2273,236
549,0812.3195,228
550,0812.1847,498
551,0812.0520,342
552,0812.4932,353
553,0812.3063,148
554,0812.2013,400
555,0812.3781,185
556,0812.0994,513
557,0812.5018,405
558,0812.0629,296
559,0812.4564,132
560,0812.3558,476
561,0812.1183,355
562,0812.1195,160
563,0812.0024,381
564,0812.1553,317
565,0812.0897,219
566,0812.4581,198
567,0812.0951,241
568,0812.0124,466
569,0812.3032,977
570,0812.3267,368
571,0812.0769,360
572,0812.2796,710
573,0812.0710,328
574,0812.4713,127
575,0812.0923,531
576,0812.2089,642
577,0812.2760,433
578,0812.2328,468
579,0812.3743,208
580,0812.4368,186
581,0812.4282,599
582,0812.3448,237
583,0812.1186,424
584,0812.0837,160
585,0812.1161,671
586,0812.0180,212
587,0812.0901,212
588,0812.0500,262
589,0812.1775,129
590,0812.1482,405
591,0812.4167,401
592,0812.2988,417
593,0812.4656,202
594,0812.3173,174
595,0812.2984,569
596,0812.2482,507
597,0812.2806,542
598,0812.0408,397
599,0812.1313,674
600,0812.3890,324
601,0812.2153,614
602,0812.4589,158
603,0812.1859,223
604,0812.3056,149
605,0812.4521,246
606,0812.4699,130
607,0812.4477,131
608,0812.1745,139
609,0812.4135,911
610,0812.3259,335
611,0812.3652,379
612,0812.1644,21951
613,0812.1369,419
614,0812.1597,440
615,0812.0138,473
616,0812.0567,179
617,0812.1284,330
618,0812.0269,292
619,0812.0437,388
620,0812.0299,108
621,0812.4846,108
622,0812.4873,251
623,0812.3148,309
624,0812.2855,288
625,0812.2128,335
626,0812.1929,72159
627,0812.1625,275
628,0812.2797,395
629,0812.4005,279
630,0812.2251,229
631,0812.4322,697
632,0812.3071,652
633,0812.0880,711
634,0812.1230,875
635,0812.3155,215
636,0812.5107,148
637,0812.5026,186
638,0812.0668,314
639,0812.1251,395
640,0812.3240,587
641,0812.2124,458
642,0812.2522,128
643,0812.2960,3840
644,0812.1279,546
645,0812.0428,82
646,0812.4942,114
647,0812.0789,136
648,0812.0598,505
649,0812.1864,1723
650,0812.4813,178
651,0812.5111,809
652,0812.2274,394
653,0812.1666,262
654,0812.0267,210
655,0812.3476,621
656,0812.0119,335
657,0812.2543,172
658,0812.3262,477
659,0812.4517,480
660,0812.4044,187
661,0812.2165,213
662,0812.0106,296
663,0812.4458,14055
664,0812.1406,300
665,0812.3038,241
666,0812.3199,367
667,0812.5060,328
668,0812.2198,347
669,0812.4675,476
670,0812.4238,230
671,0812.2701,258
672,0812.3151,458
673,0812.2312,288
674,0812.1378,108
675,0812.2927,387
676,0812.0654,249
677,0812.1262,331
678,0812.2636,123
679,0812.1735,173
680,0812.0398,380
681,0812.0177,38309
682,0812.0809,381
683,0812.3710,135
684,0812.2754,93
685,0812.1435,88
686,0812.4598,412
687,0812.4793,730
688,0812.3455,524
689,0812.2243,2363
690,0812.1673,192
691,0812.2480,149
692,0812.3700,145
693,0812.0112,165
694,0812.0450,367
695,0812.0051,141
696,0812.2097,239
697,0812.1493,102
698,0812.4572,184
699,0812.2670,32065
700,0812.4362,484
701,0812.0546,866
702,0812.2908,509
703,0812.2689,267
704,0812.1170,580
705,0812.3359,7483
706,0812.3797,322
707,0812.4969,611
708,0812.4300,322
709,0812.1727,545
710,0812.3850,210
711,0812.4580,198
712,0812.3226,336
713,0812.1167,255
714,0812.3621,218
715,0812.0772,161
716,0812.0235,252
717,0812.4504,242
718,0812.2403,337
719,0812.4980,293
720,0812.0273,278
721,0812.4193,172
722,0812.4316,543
723,0812.1459,421
724,0812.1716,113
725,0812.2727,291
726,0812.3301,544
727,0812.3411,387
728,0812.3563,588
729,0812.4462,290
730,0812.2517,13744
731,0812.4303,301
732,0812.0850,295
733,0812.4767,225
734,0812.2820,164
735,0812.1302,163
736,0812.4205,459
737,0812.3069,173
738,0812.1084,234
739,0812.3235,616
740,0812.1252,640
741,0812.4043,749
742,0812.1256,85
743,0812.1903,653
744,0812.0786,322
745,0812.1848,158
746,0812.2352,278
747,0812.3176,160
748,0812.4445,182
749,0812.1327,119
750,0812.2968,224
751,0812.0928,612
752,0812.4287,351
753,0812.1945,281
754,0812.0310,393
755,0812.4448,500
756,0812.1853,468
757,0812.3803,503
758,0812.0165,359
759,0812.2496,306
760,0812.3312,494
761,0812.0153,321
762,0812.3055,422
763,0812.2249,614
764,0812.0389,303
765,0812.0843,180
766,0812.3419,201
767,0812.4159,472
768,0812.2609,355
769,0812.2568,376
770,0812.3567,439
771,0812.0418,18422
772,0812.2313,385
773,0812.1959,197
774,0812.0670,360
775,0812.2499,109
776,0812.2773,263
777,0812.0894,110
778,0812.4657,340
779,0812.5094,16631
780,0812.4400,324
781,0812.2123,428
782,0812.2443,109
783,0812.0566,391
784,0812.2347,443
785,0812.3500,846
786,0812.0186,493
787,0812.4501,307
788,0812.4998,358
789,0812.4050,491
790,0812.2969,87
791,0812.3037,2186
792,0812.2726,283
793,0812.4160,613
794,0812.2316,232
795,0812.2769,149
796,0812.3043,614
797,0812.2342,173
798,0812.1396,117
799,0812.3415,134
800,0812.3082,303
801,0812.0190,29162
802,0812.3292,457
803,0812.1221,462
804,0812.1471,418
805,0812.0241,303
806,0812.0505,308
807,0812.3922,202
808,0812.0879,616
809,0812.2799,364
810,0812.1319,157
811,0812.0506,229
812,0812.3196,438
813,0812.3707,256
814,0812.4739,356
815,0812.2162,932
816,0812.4209,160
817,0812.2382,535
818,0812.1388,391
819,0812.3499,175
820,0812.4168,473
821,0812.3424,125
822,0812.1157,96
823,0812.2432,120
824,0812.3562,206
825,0812.0283,377
826,0812.0034,266
827,0812.3741,651
828,0812.0358,369
829,0812.4978,185
830,0812.3514,543
831,0812.0797,369
832,0812.0196,161
833,0812.2776,472
834,0812.3446,1613
835,0812.2438,177
836,0812.3390,512
837,0812.2146,308
838,0812.0382,173
839,0812.0695,356
840,0812.2567,202
841,0812.1270,170
842,0812.1376,373
843,0812.3376,386
844,0812.4790,305
845,0812.2639,137
846,0812.4492,448
847,0812.3814,95
848,0812.4763,178
849,0812.1437,187
850,0812.2110,226
851,0812.0423,115
852,0812.4683,334
853,0812.1362,191
854,0812.2669,341
855,0812.0222,462
856,0812.2738,119
857,0812.1740,19681
858,0812.1448,1158
859,0812.4164,345
860,0812.4548,335
861,0812.4938,653
862,0812.4914,127
863,0812.4838,159
864,0812.0631,482
865,0812.2571,327
866,0812.3703,601
867,0812.0991,341
868,0812.4574,286
869,0812.2946,991
870,0812.4289,370
871,0812.4674,289
872,0812.1659,1001
873,0812.0414,136
874,0812.3965,412
875,0812.1642,269
876,0812.3293,468
877,0812.1225,400
878,0812.2207,396
879,0812.3384,1089
880,0812.4099,244
881,0812.5046,677
882,0812.0272,222
883,0812.4924,762
884,0812.3355,153
885,0812.3775,176
886,0812.2637,382
887,0812.2830,231
888,0812.1524,80739
889,0812.2475,500
890,0812.3471,128
891,0812.2092,114
892,0812.3169,184
893,0812.1184,168
894,0812.0946,214
895,0812.3131,180
896,0812.1791,404
897,0812.4402,175
898,0812.3747,235
899,0812.0134,379
900,0812.4824,315
901,0812.4420,1113
902,0812.1606,290
903,0812.2490,1654
904,0812.3886,481
905,0812.3624,673
906,0812.3698,569
907,0812.0721,832
908,0812.2073,419
909,0812.4392,426
910,0812.3711,891
911,0812.4937,125
912,0812.0010,733
913,0812.2325,274
914,0812.2926,621
915,0812.4117,109
916,0812.3691,213
917,0812.4985,337
918,0812.3728,324
919,0812.4536,304
920,0812.1712,152
921,0812.1940,512
922,0812.3470,204
923,0812.0198,156
924,0812.1988,6847
925,0812.4198,229
926,0812.3720,458
927,0812.2742,351
928,0812.0368,288
929,0812.2675,424
930,0812.4213,302
931,0812.2719,206
932,0812.4327,789
933,0812.0736,469
934,0812.0884,564
935,0812.4310,227
936,0812.4707,411
937,0812.2315,376
938,0812.0870,216
939,0812.4114,143
940,0812.3818,220
941,0812.0057,253
942,0812.1067,574
943,0812.2593,315
944,0812.1095,351
945,0812.3213,635
946,0812.0495,125
947,0812.2333,475
948,0812.4934,216
949,0812.1114,717
950,0812.3788,271
951,0812.4004,266
952,0812.4162,552
953,0812.0033,186
954,0812.3640,430
955,0812.3442,284
956,0812.1679,137
957,0812.4601,445
958,0812.1649,399
959,0812.0671,242
960,0812.1473,230
961,0812.0359,293
962,0812.0785,1228
963,0812.4244,125
964,0812.4079,817
965,0812.4627,367
966,0812.0688,104
967,0812.4923,527
968,0812.0602,152
969,0812.0527,145
970,0812.0775,137
971,0812.0377,173
972,0812.4761,150
973,0812.2556,269
974,0812.2717,279
975,0812.4360,398
976,0812.3908,541
977,0812.4597,719
978,0812.3901,466
979,0812.4475,137
980,0812.3679,250
981,0812.4801,424
982,0812.5066,135
983,0812.0130,570
984,0812.2085,370
985,0812.4450,169
986,0812.1492,130
987,0812.4562,98
988,0812.0479,344
989,0812.4883,315
990,0812.0979,260
991,0812.1208,230
992,0812.4854,331
993,0812.0320,68
994,0812.2068,312
995,0812.4459,144
996,0812.2311,114
997,0812.3523,825
998,0812.1033,2439
999,0812.3754,120
1000,0812.1075,574
1001,0812.1339,129
1002,0812.1371,467
1003,0812.0604,198
1004,0812.4661,265
1005,0812.3472,128
1006,0812.1407,77
1007,0812.4023,189
1008,0812.5013,158
1009,0812.3958,406
1010,0812.3146,195
1011,0812.0188,293
1012,0812.1462,199
1013,0812.2901,248
1014,0812.3684,114
1015,0812.3093,192
1016,0812.4341,646
1017,0812.2346,478
1018,0812.0774,352
1019,0812.0449,325
1020,0812.0393,311
1021,0812.3799,327
1022,0812.1310,456
1023,0812.1088,445
1024,0812.2397,411
1025,0812.3928,397
1026,0812.3284,194
1027,0812.2203,212
1028,0812.0351,111181
1029,0812.4543,3693
1030,0812.1652,939
1031,0812.4214,589
1032,0812.1481,136
1033,0812.2354,417
1034,0812.1165,260
1035,0812.1984,168
1036,0812.2419,437
1037,0812.0366,286
1038,0812.4605,806
1039,0812.3353,156
1040,0812.4203,5988
1041,0812.4558,441
1042,0812.4013,713
1043,0812.0115,11581
1044,0812.0394,200
1045,0812.4630,123
1046,0812.1249,130
1047,0812.0712,185
1048,0812.2658,127
1049,0812.3299,335
1050,0812.4047,245
1051,0812.0163,642
1052,0812.4222,161
1053,0812.2648,223
1054,0812.3506,343
1055,0812.1288,216
1056,0812.3083,150
1057,0812.1421,574
1058,0812.0851,250
1059,0812.5012,212
1060,0812.1750,533
1061,0812.2141,296
1062,0812.3581,485
1063,0812.3873,150
1064,0812.3484,298
1065,0812.3934,253
1066,0812.3486,264
1067,0812.2834,1067
1068,0812.1700,386
1069,0812.2616,201
1070,0812.4493,313
1071,0812.3286,119
1072,0812.2161,347
1073,0812.0730,147
1074,0812.0424,595
1075,0812.1869,265
1076,0812.2575,496
1077,0812.5084,423
1078,0812.1805,245
1079,0812.2365,1012
1080,0812.3328,510
1081,0812.2732,409
1082,0812.1773,202
1083,0812.0204,105
1084,0812.3249,173
1085,0812.0384,347
1086,0812.4419,266
1087,0812.5011,567
1088,0812.3034,471
1089,0812.1219,189
1090,0812.1472,258
1091,0812.0743,232
1092,0812.2619,117
1093,0812.2618,849
1094,0812.3980,253
1095,0812.1647,205
1096,0812.1858,441
1097,0812.3828,260
1098,0812.2047,227
1099,0812.3813,130
1100,0812.4290,793
1101,0812.1007,295
1102,0812.5033,138
1103,0812.1975,349
1104,0812.4263,369
1105,0812.4724,281
1106,0812.1656,914
1107,0812.1575,350
1108,0812.1697,588
1109,0812.2667,122
1110,0812.0764,113
1111,0812.4234,378
1112,0812.3340,150
1113,0812.1688,452
1114,0812.2953,290
1115,0812.2664,545
1116,0812.1825,140
1117,0812.0821,383
1118,0812.2464,655
1119,0812.2548,95
1120,0812.2602,184
1121,0812.3932,262
1122,0812.1832,799
1123,0812.1828,421
1124,0812.4512,83
1125,0812.3270,666
1126,0812.1275,165
1127,0812.4342,612
1128,0812.2510,1166
1129,0812.2813,672
1130,0812.1774,677
1131,0812.3433,102
1132,0812.0691,158
1133,0812.3549,1049
1134,0812.4740,124
1135,0812.1375,117
1136,0812.5081,309
1137,0812.4776,393
1138,0812.0643,102
1139,0812.3260,680
1140,0812.1223,774
1141,0812.2107,256
1142,0812.1373,68
1143,0812.0009,337
1144,0812.3824,308
1145,0812.3981,269
1146,0812.2630,666
1147,0812.4604,182
1148,0812.1487,197
1149,0812.3923,328
1150,0812.3626,463
1151,0812.0169,130
1152,0812.4799,180
1153,0812.4183,228
1154,0812.4415,247
1155,0812.2200,602
1156,0812.1156,789
1157,0812.4559,701
1158,0812.1966,760
1159,0812.2091,395
1160,0812.3857,248
1161,0812.2187,459
1162,0812.4220,295
1163,0812.4655,472
1164,0812.1453,556
1165,0812.1908,287
1166,0812.3906,645
1167,0812.4103,164
1168,0812.1694,214
1169,0812.4169,666
1170,0812.1321,140
1171,0812.4541,2192
1172,0812.2589,134
1173,0812.3120,198
1174,0812.4018,542
1175,0812.2234,182
1176,0812.4920,261
1177,0812.2546,185
1178,0812.2756,327
1179,0812.1561,384
1180,0812.3550,614
1181,0812.3248,366
1182,0812.3795,1413
1183,0812.2379,203
1184,0812.3954,165
1185,0812.1039,128
1186,0812.5051,230
1187,0812.0690,465
1188,0812.1110,312
1189,0812.4757,464
1190,0812.2755,473
1191,0812.1954,379
1192,0812.3360,300
1193,0812.5113,179
1194,0812.2576,199
1195,0812.0933,224
1196,0812.2166,280
1197,0812.1592,356
1198,0812.0938,687
1199,0812.1105,135
1200,0812.1792,382
1201,0812.1420,234
1202,0812.3129,343
1203,0812.0145,710
1204,0812.0426,116
1205,0812.1122,491
1206,0812.2057,806
1207,0812.2734,159
1208,0812.2111,99
1209,0812.4334,440
1210,0812.2941,133
1211,0812.0086,570
1212,0812.4219,894
1213,0812.0023,491
1214,0812.1116,31833
1215,0812.2139,1001
1216,0812.3352,165
1217,0812.2976,319
1218,0812.4494,1232
1219,0812.2441,347
1220,0812.2272,773
1221,0812.0247,250
1222,0812.2298,245
1223,0812.4032,281
1224,0812.0355,235
1225,0812.2906,188
1226,0812.0703,302
1227,0812.1596,148
1228,0812.2292,195
1229,0812.3405,359
1230,0812.0701,871
1231,0812.4744,3859
1232,0812.3551,591
1233,0812.1776,218
1234,0812.3568,502
1235,0812.4848,826
1236,0812.5073,340
1237,0812.0706,731
1238,0812.0233,288
1239,0812.4230,205
1240,0812.1855,261
1241,0812.1494,680
1242,0812.3745,278
1243,0812.3436,274
1244,0812.4128,497
1245,0812.2314,270
1246,0812.1415,310
1247,0812.1429,188
1248,0812.3854,409
1249,0812.2396,1577
1250,0812.1756,541
1251,0812.3178,158
1252,0812.1811,34393
1253,0812.4925,473
1254,0812.3050,100
1255,0812.1352,325
1256,0812.4278,287
1257,0812.4016,561
1258,0812.3582,238
1259,0812.3232,458
1260,0812.2913,388
1261,0812.2409,623
1262,0812.2541,163
1263,0812.1417,390
1264,0812.2762,545
1265,0812.3737,984
1266,0812.1752,139
1267,0812.3116,256
1268,0812.5064,331
1269,0812.3649,2046
1270,0812.0526,385
1271,0812.2429,337
1272,0812.2942,470
1273,0812.0307,169
1274,0812.2086,226
1275,0812.2828,808
1276,0812.4177,205
1277,0812.4579,488
1278,0812.0236,413
1279,0812.4878,253
1280,0812.3605,518
1281,0812.4270,664
1282,0812.0131,106
1283,0812.3358,365
1284,0812.4296,333
1285,0812.4461,317
1286,0812.3726,251
1287,0812.1720,308
1288,0812.1965,471
1289,0812.3827,397
1290,0812.5075,58495
1291,0812.1857,282
1292,0812.1663,382
1293,0812.2449,429
1294,0812.3736,174
1295,0812.3122,408
1296,0812.2981,132
1297,0812.1582,725
1298,0812.2385,8630
1299,0812.0930,179
1300,0812.3369,154
1301,0812.2959,442
1302,0812.3438,233
1303,0812.3429,175
1304,0812.2025,613
1305,0812.4556,138
1306,0812.4826,359
1307,0812.3943,767
1308,0812.0364,560
1309,0812.2688,169
1310,0812.5048,332
1311,0812.0806,385
1312,0812.1509,279
1313,0812.3874,478
1314,0812.3983,619
1315,0812.3496,155
1316,0812.2885,113
1317,0812.2694,507
1318,0812.3194,1007
1319,0812.0856,627
1320,0812.3001,4602
1321,0812.3941,275
1322,0812.2423,244
1323,0812.0453,358
1324,0812.4014,230
1325,0812.3669,248
1326,0812.3767,369
1327,0812.1638,2617
1328,0812.0327,519
1329,0812.0564,208
1330,0812.0166,411
1331,0812.4651,210
1332,0812.0795,1422
1333,0812.4538,318
1334,0812.0372,61
1335,0812.3398,227
1336,0812.2158,306
1337,0812.2851,192
1338,0812.0976,583
1339,0812.1579,226
1340,0812.0397,309
1341,0812.3132,377
1342,0812.1240,294
1343,0812.2824,404
1344,0812.2710,225
1345,0812.4993,161
1346,0812.3968,295
1347,0812.0838,214
1348,0812.2958,241
1349,0812.3461,403
1350,0812.4720,300
1351,0812.0529,591
1352,0812.3380,353
1353,0812.2108,128
